Date	Attack	Death TotAttack TotDeath
19-Aug-1854	1	1 1
20-Aug-1854	1	0 2
21-Aug-1854	1	2 3
22-Aug-1854	0	0 3
23-Aug-1854	1	0 4
24-Aug-1854	1	2 5
25-Aug-1854	0	0 5
26-Aug-1854	1	0 6
27-Aug-1854	1	1 7
28-Aug-1854	1	0 8
29-Aug-1854	1	1 9
30-Aug-1854	8	2 17
31-Aug-1854	56	3 73
1-Sep-1854	143	70 216
2-Sep-1854	116	127 332
3-Sep-1854	54	76 386 
4-Sep-1854	46	71 432
5-Sep-1854	36	45 468
6-Sep-1854	20	37 488
7-Sep-1854	28	32 516
8-Sep-1854	12	30 528
9-Sep-1854	11	24 539
10-Sep-1854	5	18 544
11-Sep-1854	5	15 549
12-Sep-1854	1	6 550
13-Sep-1854	3	13 553
14-Sep-1854	0	6 553
15-Sep-1854	1	8 554
16-Sep-1854	4	6 558
17-Sep-1854	2	5 560
18-Sep-1854	3	2 563
19-Sep-1854	0	3 563
20-Sep-1854	0	0 563
21-Sep-1854	2	0 565
22-Sep-1854	1	2 566
23-Sep-1854	1	3 567
24-Sep-1854	1	0 568
25-Sep-1854	1	0 569
26-Sep-1854	1	2 570
27-Sep-1854	1	0 571
28-Sep-1854	0	2 571
29-Sep-1854	0	1 571
